ds,yhat,yhat_lower,yhat_upper
2005-07-25,35.432467754588714,31.360423192904257,39.88636821591548
2005-07-26,35.4589678397837,30.926878880905488,39.898038733510035
2005-07-27,35.41286903644907,30.68045967612326,39.678817839042125
2005-07-28,35.372077418407066,31.005272063700623,39.90041809068145
2005-07-29,35.319587208034825,31.080593555836135,39.42771999627378
2005-08-01,35.16663454094287,30.948091031315514,39.407993473946085
2005-08-02,35.2066100605343,30.82728068507721,39.35148747274071
2005-08-03,35.17603710524252,30.56406898201904,39.59920377839705
2005-08-04,35.152256518289576,30.956476924128175,39.44711521038164
2005-08-05,35.11768453915845,30.761372358277438,39.29643525289593
2005-08-08,35.01830691253737,30.99349781740518,39.48316638885173
2005-08-09,35.07436945347272,30.80289526096156,39.36811096734314
2005-08-10,35.05827331621836,30.744830471150458,39.582347536120054
2005-08-11,35.047028409278724,30.76515833007982,39.44257615936565
2005-08-12,35.02280193708202,30.774937181510943,39.450603739483455
2005-08-15,34.94015947980716,30.81819498525988,39.17303726511367
2005-08-16,34.99709793594568,30.430465766490613,39.44310673141269
2005-08-17,34.979775546168476,30.697482801499206,39.442462108384944
2005-08-18,34.965468848661985,30.63594891447276,39.565227711933055
2005-08-19,34.936676683221904,30.443061067108562,39.212180355672416
2005-08-22,34.835339239746254,30.410203875598405,38.97603165097242
2005-08-23,34.8858568006163,30.33854353532629,39.114290925316766
2005-08-24,34.86277022878928,30.184539948045376,39.61640265488764
2005-08-25,34.843781415435934,30.5301216177443,39.12173033081356
2005-08-26,34.81177625597286,30.523548157251202,39.14445963749216
2005-08-29,34.712631557963,30.15982232876541,39.23955317662571
2005-08-30,34.76846907427189,30.705642127012283,39.020240252442555
2005-08-31,34.75311181508823,30.511755164538197,38.985614178566586
2005-09-01,34.7441967099764,30.22633113284238,39.07673481577067
2005-09-02,34.724454518482204,30.195118644109343,38.872957092821395
2005-09-05,34.672416183610025,30.395116194507885,39.02505078888456
2005-09-06,34.74608726598436,30.317314498105095,39.26111675483323
2005-09-07,34.748829573186754,30.490012070169275,39.10687054560132
2005-09-08,34.75774136414419,30.409865132359755,38.9870220188988
