ds,yhat,yhat_lower,yhat_upper
2005-07-25,100.89468625815572,92.94303825857125,109.31459007172687
2005-07-26,100.86643709176019,93.17739149956552,108.96738317880514
2005-07-27,100.8186392947437,92.7972760945609,108.97652980425755
2005-07-28,100.71935547450772,93.18829859586272,108.41137189183294
2005-07-29,100.56838511505715,92.86208162663175,109.20431516487768
2005-08-01,100.13196588913812,92.08490241057855,108.78069242150828
2005-08-02,100.06116875811254,91.96414709674853,107.83799781791595
2005-08-03,99.98083915858612,91.9263696708592,108.44892341942068
2005-08-04,99.85918948635636,92.08672435214339,107.35410717261186
2005-08-05,99.69594722684937,91.1590042401483,108.28150206251016
2005-08-08,99.27953162892109,91.02074273600704,107.20028837288538
2005-08-09,99.23222521224085,91.17544075075854,107.69699023384355
2005-08-10,99.18239369222567,91.76118095913043,107.3968085482384
2005-08-11,99.09726669407965,91.10324342541558,107.37857548718696
2005-08-12,98.97554306654771,91.01689114993395,107.00122977456172
2005-08-15,98.70334762860384,90.6085865099809,106.62646778482282
2005-08-16,98.70742216913882,90.29348552157806,106.96516053110643
2005-08-17,98.70918416428486,90.59995111753081,106.6489019915885
2005-08-18,98.67515614481493,90.38850618537707,107.07466332650871
2005-08-19,98.60345918438061,90.34630641556666,107.01638273742093
2005-08-22,98.47121429988258,90.10451713486258,106.40384050680709
2005-08-23,98.51801737535065,90.13522731589244,105.93212559174914
2005-08-24,98.56059228372985,90.48017339391683,106.7018846108588
2005-08-25,98.56565758715753,90.26906843559648,107.02861729951033
2005-08-26,98.53162165385879,90.85612167656872,106.16788650463299
2005-08-29,98.50754269337126,90.09753773276934,106.52703946315278
2005-08-30,98.5901787495333,90.42310833722412,106.32624181595956
2005-08-31,98.66913999614474,90.12157392438263,107.02872552065536
2005-09-01,98.71148164148966,90.54907279511477,106.47114345682452
2005-09-02,98.7158802525321,90.8563894868745,106.39320826713913
2005-09-05,98.81535290012617,90.18024208060449,107.17550295674857
2005-09-06,98.94180211772888,90.66665700059067,107.02936142455738
2005-09-07,99.06552913781258,91.03355203180901,106.78838170233391
2005-09-08,99.15319387589881,91.08184815099216,106.68753001817605
2005-09-09,99.202969578499,91.3536745691756,107.37867459153567
2005-09-12,99.43250092234102,91.04058639350612,107.9533818767638
2005-09-13,99.59780347155328,91.54231777156139,107.61633201722981
2005-09-14,99.75679447245017,91.3082437820721,107.99961634911215
2005-09-15,99.87532232101739,91.29029974901435,108.49231408703307
2005-09-16,99.95078123617478,91.92033498536232,107.79094181453642
2005-09-19,100.21948743010259,91.84922060840113,108.26472038725201
2005-09-20,100.38343775321343,92.33153257683874,108.57161981321437
2005-09-21,100.53328197405652,92.59890136563227,108.74806256993654
2005-09-22,100.63473234791873,93.389129151,108.9708819103733
2005-09-23,100.68520859412277,92.86439603445602,109.1977381205611
2005-09-26,100.83426499124421,92.33409013475753,109.43102607572182
2005-09-27,100.94513291510258,92.58171858669971,109.41767917225391
2005-09-28,101.0365054696528,92.73232131568321,108.93295842063364
2005-09-29,101.07500962962399,92.9852462609343,109.24007768596567
2005-09-30,101.05908095596808,92.92611700388188,109.59090056228672
2005-10-03,100.99933310199907,93.69935685519947,109.11392816351635
2005-10-04,101.04126494125829,93.38179406251179,109.35242263615015
2005-10-05,101.06593612732426,92.8926876677802,109.52650123581456
2005-10-06,101.04104475663297,92.95658396787805,108.78236321581652
2005-10-07,100.96601813923441,93.68333095350442,109.21923988784273
2005-10-10,100.76303100765311,93.50104318794162,108.44359669514691
2005-10-11,100.77064450662346,93.20737609605024,108.67185979079096
2005-10-12,100.76836303413539,92.10685887698826,108.80069893483291
2005-10-13,100.72403317290684,93.56584207221518,108.99707423182987
2005-10-14,100.63707029467086,92.9335499085894,109.29303963246109
2005-10-17,100.4408781524771,92.4429140729339,108.85529238359528
2005-10-18,100.46345813053746,92.3616002220826,108.93265028891055
2005-10-19,100.48144543829727,92.49694279330396,108.9250079573087
2005-10-20,100.46192176234337,92.72671320367246,108.6702602557687
2005-10-21,100.40347967636431,92.61113150514115,108.24893444051142
2005-10-24,100.30651217863587,92.2143469040664,108.52328047470459
2005-10-25,100.36386137444653,92.4799590299877,108.68275945297533
2005-10-26,100.41611303195022,92.14852099849783,108.43729270837557
2005-10-27,100.42962757581033,92.63984548473393,108.43012193135492
2005-10-28,100.40236095095466,92.21720831163566,108.60326445471581
2005-10-31,100.38286463040335,92.48611849994165,108.6151281455416
2005-11-01,100.45959016919002,92.7940557634345,108.76134354273698
2005-11-02,100.5277146614907,92.51313981649962,108.82980534043229
2005-11-03,100.5535901026533,92.48689410398623,107.99094073076081
2005-11-04,100.53526417785156,91.9250432090721,108.85539938888012
2005-11-07,100.52426316128107,93.15150492578913,109.06827621284948
2005-11-08,100.5987698691575,92.34768656027228,108.75067026553647
2005-11-09,100.6627893061854,92.67751701126302,109.5029157053693
2005-11-10,100.68309564525993,92.26352161951053,108.92198827806193
2005-11-11,100.65816717522044,92.58589532402596,108.7825368148597
2005-11-14,100.6253153149731,92.9356805344224,108.72398892340405
2005-11-15,100.6931094874589,92.51750150571056,108.93388326912464
2005-11-16,100.75122918942263,92.39203828534848,108.92946272566485
2005-11-17,100.76669864492108,92.8640919764849,109.56653696787203
2005-11-18,100.73820179572972,92.44427457106326,108.77005743282022
2005-11-21,100.70366938256434,92.81169251416021,109.39168882775672
2005-11-22,100.7741854771854,92.47486898482839,108.59753373622158
2005-11-23,100.8367224539353,92.27412702226303,109.37371958995675
2005-11-24,100.85830569738667,93.02228247909383,108.48977532555692
2005-11-25,100.83761240803803,92.01442120295401,108.31049830034544
2005-11-28,100.83657833896466,93.04063788995886,109.11829502107504
2005-11-29,100.92163978410552,92.5782441498269,108.71401457982996
2005-11-30,101.00044511986312,92.25352143088472,109.45847311961259
2005-12-01,101.0400606883064,92.58781105406017,109.32530812915888
2005-12-02,101.03921897353364,92.80927543044675,108.84372127644485
2005-12-05,101.10930576305813,92.8264897486988,108.8979510948321
2005-12-06,101.22211435373487,93.15431393993185,109.15898200257558
2005-12-07,101.33072429805225,93.13010813667915,109.25619584515408
2005-12-08,101.40217071402805,93.31720474471497,109.22912786471078
2005-12-09,101.43510452825078,93.484089207989,109.54583669397958
2005-12-12,101.6163568814152,94.32738117469633,109.45847894195202
2005-12-13,101.76846988357244,94.02809413789237,109.07014875380024
2005-12-14,101.91675154514472,93.47607684279198,110.10412053002713
2005-12-15,102.02763154351963,93.97249334276164,109.87545640122228
2005-12-16,102.09905693375548,93.07683561027305,110.29589644973687
2005-12-19,102.38173017594731,94.00264031331129,110.316365986902
2005-12-20,102.55977739819387,94.4644613573356,111.27901734951999
2005-12-21,102.72832150764077,94.87294862804974,110.29128315073119
2005-12-22,102.85271379420884,94.60973664080835,110.62709570252203
2005-12-23,102.92983608502355,94.71273334793244,110.59681567357778
2005-12-26,103.17285274651154,94.6281283092065,111.14411424848146
2005-12-27,103.31594939139094,94.9909717726031,111.51677517108759
2005-12-28,103.4376064523809,95.1138279951899,112.03437788749379
2005-12-29,103.5027999336886,95.3502546289541,111.88498350968861
2005-12-30,103.50825349661102,95.40769722053707,111.95925896269787
2006-01-02,103.46352616131169,95.67691990616122,111.4588501642764
2006-01-03,103.48845855221123,96.1179687000563,112.43562485527477
2006-01-04,103.48249020139257,95.47485973804004,111.52786875192537
2006-01-05,103.41199099907554,95.14168017050447,110.84211296454224
2006-01-06,103.27532737129067,95.25475609009925,111.30570468500164
2006-01-09,102.7853485985931,94.35709414880766,111.0966737863181
2006-01-10,102.66294715795024,94.05854413039647,110.9242163681714
2006-01-11,102.51415004284368,94.00957676993151,110.27632926118353
2006-01-12,102.30777387368698,94.13323297224088,110.26058109608891
2006-01-13,102.04460849571011,94.10922124260544,110.0073336641439
2006-01-16,101.25411903337795,93.49638980471684,109.42340037566697
2006-01-17,101.0645794298845,92.94396504061493,108.64832058394138
2006-01-18,100.86788970480104,92.92318690343434,109.80874814161214
2006-01-19,100.63404058764176,92.15420187215628,109.08758832015441
2006-01-20,100.36463692545813,92.88767757334135,108.37082618537501
2006-01-23,99.68506165562077,91.68083584356062,108.28135790864486
2006-01-24,99.57436021999101,91.65184562218899,107.1280589081198
2006-01-25,99.47572046770912,91.23300055457754,107.68596625591918
2006-01-26,99.35749850243813,90.95244192735375,107.19776155922882
2006-01-27,99.22466082789688,91.08269651732213,107.14929062609298
2006-01-30,99.0236022723242,90.69391823994115,107.07887497611593
2006-01-31,99.08598107174579,91.22724233830765,107.71212824876417
2006-02-01,99.16211407648149,91.07203898574467,107.65459697624094
2006-02-02,99.21719263085556,90.84105725524914,107.0424705462543
2006-02-03,99.24769981274088,91.23179569330124,107.51293848105483
2006-02-06,99.48007540500201,91.48186514797227,107.45366402853604
2006-02-07,99.6594558425648,92.19765948783733,108.47769120674698
2006-02-08,99.83527659373149,91.59141907455458,107.80832948587458
2006-02-09,99.97114893278335,91.8697768351803,108.18815604238728
2006-02-10,100.06242401055164,92.36470388397403,108.57077337375325
