ds,yhat,yhat_lower,yhat_upper
2005-07-25,19.476941048612712,12.438899655024553,26.211359682964684
2005-07-26,19.418118427026013,12.644927299351984,25.99877266184807
2005-07-27,19.348146636723538,12.119646521548509,26.62190691614346
2005-07-28,19.289929901365944,12.149768786474382,25.558412788277316
2005-07-29,19.244230490156685,12.232804798920636,25.449838990443066
2005-08-01,19.057758397921983,12.50033535187625,25.948090617347734
2005-08-02,19.02294593031135,12.14027689349969,25.78271808688431
2005-08-03,18.981449595186984,12.37229372404002,26.03615941013624
2005-08-04,18.955710542217712,12.087954550879202,25.927586582901185
2005-08-05,18.945974950130868,11.74130654083141,25.944344354318783
2005-08-08,18.88231767891827,12.05749711249231,25.47427278002271
2005-08-09,18.891080643251485,11.873990564882,25.95950254999908
2005-08-10,18.89326481630696,12.14266563665321,25.454924047448912
2005-08-11,18.91052280398035,12.572032673271385,25.608537562372984
2005-08-12,18.942336541522696,12.09628934036647,26.055980503023036
2005-08-15,18.987461265912014,12.913504970762098,25.775406280350797
2005-08-16,19.02492594521638,12.095896977132979,26.03496462708792
2005-08-17,19.05109077989409,12.349093257586023,25.61690283176484
2005-08-18,19.08712508723193,12.060617517052236,25.289573646803888
2005-08-19,19.132142253664494,12.414644738140222,26.36009436312996
2005-08-22,19.181440859563292,13.119932419477527,26.31046974684616
2005-08-23,19.20828768900908,13.070388602920746,25.983248497748317
2005-08-24,19.218059808833768,12.58203749375957,26.656888095980573
2005-08-25,19.232199692514598,12.388656112931777,26.115265341166268
2005-08-26,19.25022424843003,12.37720540406612,26.66087708893498
2005-08-29,19.193586461748367,11.952040540157194,25.898320157298194
2005-08-30,19.17900759027591,12.349670864164693,25.973989946411542
2005-08-31,19.145604719823407,11.99100384491559,25.651352841277138
2005-09-01,19.115635882553395,12.407063771247712,25.858684688191943
2005-09-02,19.089476563263005,12.325136859193783,25.836642293656567
2005-09-05,18.908497951696383,11.859475558059122,25.564133527743156
2005-09-06,18.85786863960469,12.262948576907853,25.327829746219475
2005-09-07,18.79235524474541,11.961298261459676,25.44220132700343
2005-09-08,18.73481475670893,12.048635077949319,25.748276964482248
2005-09-09,18.686150399218597,11.334979865194004,25.312511281316443
2005-09-12,18.471843179034153,11.981669034388801,25.05942724891419
2005-09-13,18.42208344550889,11.490966843773354,25.46728354198399
2005-09-14,18.363452835308205,11.859339407365992,25.18284107420799
2005-09-15,18.31860067651453,11.451973349448936,24.939903274013897
2005-09-16,18.28812475302212,11.756814707266605,25.001264384294725
2005-09-19,18.156825611221567,11.341211265040446,25.077863918689776
2005-09-20,18.142143159862464,11.272198795409574,24.666272841389198
2005-09-21,18.121114005230528,11.424807690494887,24.438646128967417
2005-09-22,18.115567251114598,11.373086722230104,24.771016163749504
2005-09-23,18.125275860609168,11.284173590130635,25.03480778015877
2005-09-26,18.11168084304875,11.041766425916988,24.81099234526819
2005-09-27,18.132616931835354,11.735765940566353,24.966230645617934
2005-09-28,18.144233051798935,11.57271089296425,25.365601159621615
2005-09-29,18.16773357776855,11.363252979084077,25.387133394291997
2005-09-30,18.202381116445544,11.145694644780939,24.862479325454782
2005-10-03,18.23557663883496,11.457343490764424,24.448424880508465
2005-10-04,18.26213455010347,11.58113867600236,25.299888888185897
2005-10-05,18.274409963284477,11.227714179890793,25.332434701713407
2005-10-06,18.293764849581688,11.649414331992446,25.118139307663935
2005-10-07,18.31975320569268,11.246635127377898,25.19330569993755
2005-10-10,18.304416061816593,11.608580302951507,24.830387352742356
2005-10-11,18.30910811825518,11.153139895929206,24.57646117380544
2005-10-12,18.29778235630105,11.635761994501124,25.4276359066432
2005-10-13,18.292486905706713,11.741268180013547,24.860236640416908
2005-10-14,18.293496158873257,11.931388436886742,24.986044055411252
2005-10-17,18.20838334904304,11.024785744146543,24.614202875952152
2005-10-18,18.193639985892904,11.623648545484798,24.756030145720395
2005-10-19,18.16573300850018,11.52127749356087,25.30953651321872
2005-10-20,18.147121653529084,11.595985218652611,25.053803567374295
2005-10-21,18.138418389939748,11.10479652454638,24.70101059819689
2005-10-24,18.047728502270687,11.04017420961015,24.59944197274606
2005-10-25,18.03899404588725,11.364352716861305,24.884206463671713
2005-10-26,18.02080837814278,11.758713662582439,25.140961472690073
2005-10-27,18.015309561586236,10.883546056677993,24.491653808652636
2005-10-28,18.022720005983178,11.587647066360416,24.7470572749771
2005-10-31,17.993492859612434,11.063451618333042,23.878709389564502
2005-11-01,18.00763350926473,10.666483591285028,24.80806247412045
2005-11-02,18.012486097248203,11.05991119025077,24.477571255454084
2005-11-03,18.029523683630963,11.75643636216456,24.897929437853872
2005-11-04,18.058342454833962,11.409008150380156,24.455765265679368
2005-11-07,18.08103932946932,11.078974809157119,24.9885748300583
2005-11-08,18.106761972219477,11.48812191645326,25.391567099686515
2005-11-09,18.119759629477596,11.145252306635463,24.9242467523433
2005-11-10,18.141264910324576,11.525285141948062,25.264588088468855
2005-11-11,18.170757476423475,11.527927909948179,25.0005115538864
2005-11-14,18.173247969031056,11.128278884655877,24.930361440548612
2005-11-15,18.1854294224841,11.458378208899447,24.66316829074196
2005-11-16,18.182063466108815,11.086878465935868,24.51061267853394
2005-11-17,18.18481940762682,11.488120718176974,25.28821545583057
2005-11-18,18.19370140355102,11.360755880290215,25.29464146982458
2005-11-21,18.12924344094661,11.134979968172335,24.751876413567206
2005-11-22,18.11944453760034,11.325166163239322,25.088659020782938
2005-11-23,18.09532433136427,11.381006519663002,25.04150620104799
2005-11-24,18.07911345334372,11.805126938458384,24.831343472846477
