ds,yhat,yhat_lower,yhat_upper
2005-07-25,35.11323131722678,29.82616923338021,40.31258445816508
2005-07-26,35.18079735895843,30.253390621936347,40.60017478538248
2005-07-27,35.224756728910755,29.987019134591254,40.429071589856214
2005-07-28,35.28160174402977,29.97026037713145,40.21421469492086
2005-07-29,35.325986446438094,30.53397132846156,40.77424203766147
2005-08-01,35.35956571628548,30.408719062270674,40.423616338517064
2005-08-02,35.410939826144684,30.190308064687187,40.80217091010152
2005-08-03,35.435913531113336,30.02701122727707,40.4520839287761
2005-08-04,35.47095847276709,29.805468195130484,41.02138363820779
2005-08-05,35.49079283219817,30.20279455020824,40.70336243833098
2005-08-08,35.43617680983789,30.010538680336133,40.68393720027794
2005-08-09,35.45438467027064,30.491270362556197,40.644327205268795
2005-08-10,35.44504397842643,30.298791895804285,40.680917702050046
2005-08-11,35.44516680918073,30.098642251848258,40.48300107128742
2005-08-12,35.430060980066486,30.139247021394183,40.89628400436512
2005-08-15,35.27683041940335,29.833434192988978,40.757554845387936
2005-08-16,35.26636065663274,30.0943991196296,40.63101293233593
2005-08-17,35.231449254078164,29.602203563461934,40.17619387769318
2005-08-18,35.2096448355428,29.860919458947652,40.62647281194973
2005-08-19,35.17672142383164,30.21585750924163,40.332637423988785
2005-08-22,34.9979928038689,29.591967358064885,40.253868077313356
2005-08-23,34.98890273955938,29.76588404499481,40.12686962400307
2005-08-24,34.96029306424937,29.85402343176268,40.25002746813279
2005-08-25,34.94951451254675,29.346801371354122,39.93397068254025
2005-08-26,34.93201880536776,29.340048717812206,40.57028542734199
2005-08-29,34.82102423352248,29.878266875862998,40.35155313485256
2005-08-30,34.8395043455838,29.67991530617123,39.723882953387246
2005-08-31,34.83968081823661,29.63404704230619,39.878541466381364
2005-09-01,34.85805383892314,29.39042557825908,40.543201683187874
2005-09-02,34.86919884008066,29.293290416825634,40.20588258487104
2005-09-05,34.83239295449352,29.333185458438447,40.167809749797875
2005-09-06,34.86899620946467,29.49585498655883,40.265401264651494
2005-09-07,34.88282071957091,29.83516742256138,40.308479235252435
2005-09-08,34.90981233677882,29.5009650754044,40.13729032607549
2005-09-09,34.924116273247236,29.770742595050113,40.29670879240166
2005-09-12,34.86185907750486,29.463687281478197,39.687673900587285
2005-09-13,34.87837969142114,29.923957813029414,40.42111185551226
2005-09-14,34.86673749117167,29.98571416454219,39.877905502750686
2005-09-15,34.863357953702675,29.51735838084863,40.07536205554838
2005-09-16,34.84300802243128,30.162566002041494,40.42080195995242
2005-09-19,34.659133705446955,28.896023828573586,39.814450868611836
2005-09-20,34.63238407081388,29.22928491206493,39.92889576757575
2005-09-21,34.57783994221454,29.390998322694458,39.69477159901592
2005-09-22,34.53300771334437,29.21260491169483,40.12836854750102
2005-09-23,34.473724341866,29.22874439896576,39.80274927038496
2005-09-26,34.19813009485719,28.778527289819426,39.04377356088639
2005-09-27,34.15206314066921,28.64959798824825,39.69673236246016
2005-09-28,34.084983499986365,28.93132884748425,39.09303530376938
2005-09-29,34.03487239484595,29.040222444782383,39.6443755554865
2005-09-30,33.97787580307686,29.02192372468806,39.104681186123244
2005-10-03,33.75497094190369,28.48017626530906,39.28664075975815
2005-10-04,33.74098977750013,28.482087658284314,38.98856295659307
2005-10-05,33.71244581627888,28.687433273695675,38.86529264850671
2005-10-06,33.70659420722929,28.390320989235036,38.92282597091388
2005-10-07,33.69871765885395,28.904742134317424,39.266663157203574
2005-10-10,33.64210602796945,28.080672160829767,38.761760849144444
2005-10-11,33.68610354666795,28.43890455847295,38.76079023112298
2005-10-12,33.7148520707281,28.327566702525925,38.95695358980067
2005-10-13,33.76444547478278,28.171015281113505,38.72495310090095
2005-10-14,33.80905607086099,28.28398226483852,39.26538925965624
2005-10-17,33.88239012894117,28.655315926664343,38.847759961511485
2005-10-18,33.957888432682445,28.925888775694418,39.28590422688779
2005-10-19,34.011285390694304,28.767815450153186,39.263228257184565
2005-10-20,34.078364195567126,28.66365757589041,39.17743662132463
2005-10-21,34.133169666292396,28.86114385478505,39.41321294603617
2005-10-24,34.19483542226962,28.755394190385058,39.04106260945654
2005-10-25,34.25373925834659,29.193524730917776,39.526697652779596
2005-10-26,34.285278990518954,29.387244921367518,39.48789145064399
2005-10-27,34.32609523804439,28.982092723658546,39.53337771911228
2005-10-28,34.351194835196814,28.937730193249028,39.5277428794837
2005-10-31,34.31371057971357,29.01162026669355,39.46129109078255
2005-11-01,34.33989651589666,29.300427446897068,39.579632045827715
2005-11-02,34.34068554361379,28.956305774297377,39.298720806387124
2005-11-03,34.35371564255275,28.86449160650436,39.27253411549521
2005-11-04,34.35489733925924,28.977985687428433,39.77167661202446
2005-11-07,34.276018029676685,28.971072899812405,39.61874080324551
2005-11-08,34.30015080436239,29.23035984800792,39.94759772954021
2005-11-09,34.30514853610994,28.69176263478209,39.94773688295473
2005-11-10,34.32861448385253,28.820199922832895,39.514624450858
2005-11-11,34.34624510521267,29.338511453631615,39.71703422014612
2005-11-14,34.34811988284337,29.218315330460563,39.51426434283652
2005-11-15,34.40733414392529,29.138333859976534,39.77997064372663
2005-11-16,34.450033938034096,28.98801392793525,39.97822628812517
2005-11-17,34.512809688908284,29.45558746890293,39.85527396681365
2005-11-18,34.57029151162901,29.245991591596418,39.902508438891026
2005-11-21,34.684109440552234,29.190496895192762,39.4386962260366
2005-11-22,34.774620507976714,29.327281104645316,40.26329324318547
2005-11-23,34.84403549173905,29.871755776762605,40.29498925898478
2005-11-24,34.928155513683315,29.864940343433982,40.13989999707859
