Stock,Train_RMSE,Train_MAE,Test_RMSE,Test_MAE
Apple,1.5472653788488997,0.7124855555641071,2.28373384562438,2.088198434259934
GeneralElectric,2.231416908353453,1.0467420701697687,10.543540668948593,8.593566886444453
IBM,1.7105943958177559,0.9653923291740226,8.13719990691211,7.07616651264666
Johnson&Johnson,1.1971348447143604,0.643429187242653,4.4077988054045285,2.9260466794259004
Microsoft,2.685972078312051,1.287162444190901,5.374880780553719,4.485553613479402
