Date,Actual,Forecast,Type
2005-07-25,43.765228271484375,0.0,Train
2005-07-26,43.7236328125,43.76522666154739,Train
2005-07-27,43.59370040893555,43.72363338133891,Train
2005-07-28,43.55731201171875,43.5937001931497,Train
2005-07-29,43.38056945800781,43.55731217274746,Train
2005-08-01,43.36498260498047,43.38056917249368,Train
2005-08-02,43.302616119384766,43.3649834082966,Train
2005-08-03,43.69243621826172,65.18523051726399,Train
2005-08-04,43.20386505126953,43.65084403008801,Train
2005-08-05,43.32859420776367,43.080663229083754,Train
2005-08-08,43.43281173706055,43.28612587179395,Train
2005-08-09,43.5057487487793,43.25611520704406,Train
2005-08-10,42.734642028808594,43.48600711534311,Train
2005-08-11,43.06809616088867,42.686139942164544,Train
2005-08-12,42.823204040527344,43.44403659008787,Train
2005-08-15,42.98470306396485,42.56661649310423,Train
2005-08-16,42.35948944091797,42.97316186607893,Train
2005-08-17,42.35948944091797,42.406207245163635,Train
2005-08-18,42.28133773803711,42.30460383921475,Train
2005-08-19,43.12019729614258,41.8876993746037,Train
2005-08-22,43.036842346191406,43.237883436854595,Train
2005-08-23,42.739845275878906,43.11695529937357,Train
2005-08-24,42.36990737915039,42.6210005898083,Train
2005-08-25,42.25527191162109,42.160252054383264,Train
2005-08-26,41.88014221191406,42.27516620757397,Train
2005-08-29,42.38034439086914,41.825972417528845,Train
2005-08-30,41.9635124206543,42.39229350108868,Train
2005-08-31,42.00519943237305,42.0352593479112,Train
2005-09-01,41.44248962402344,41.94992119512736,Train
2005-09-02,41.40078353881836,41.26497602216212,Train
2005-09-05,41.80719375610352,41.21019298084076,Train
2005-09-06,42.21360397338867,41.72134082864758,Train
2005-09-07,42.19276428222656,42.290591772376004,Train
2005-09-08,42.09897613525391,42.10280103269398,Train
2005-09-09,42.43244171142578,42.15524572029085,Train
2005-09-12,42.45328521728516,42.24779473063676,Train
2005-09-13,42.07292938232422,42.29630715424567,Train
2005-09-14,41.932247161865234,42.011839681929125,Train
2005-09-15,41.6873664855957,41.9540954414667,Train
2005-09-16,41.85410690307617,41.75023365159963,Train
2005-09-19,41.38517379760742,41.759468449017085,Train
2005-09-20,41.004825592041016,41.505668775463185,Train
2005-09-21,40.41084671020508,40.8721358707414,Train
2005-09-22,40.74951171875,40.22141172662322,Train
2005-09-23,40.640113830566406,40.65966516508638,Train
2005-09-26,40.332706451416016,40.61816224434864,Train
2005-09-27,40.63489532470703,40.41341428965713,Train
2005-09-28,41.4216423034668,40.4742621906026,Train
2005-09-29,41.869720458984375,41.437096523026696,Train
2005-09-30,41.79677200317383,41.65102408415194,Train
2005-10-03,41.91663360595703,41.6805250168783,Train
2005-10-04,41.73947525024414,41.829339857144326,Train
2005-10-05,41.588356018066406,41.67577051327506,Train
2005-10-06,41.52586364746094,41.69922545658166,Train
2005-10-07,41.942665100097656,41.512694022589756,Train
2005-10-10,42.33343505859375,42.02743462935545,Train
2005-10-11,43.34423065185547,42.13786024826721,Train
2005-10-12,42.823204040527344,43.24064446497699,Train
2005-10-13,42.82841491699219,42.73912626630232,Train
2005-10-14,42.90656661987305,42.74693076134125,Train
2005-10-17,43.031620025634766,42.99311656660122,Train
2005-10-18,43.49531936645508,43.06785753044507,Train
2005-10-19,43.85484313964844,43.618192544475015,Train
2005-10-20,43.33380508422852,43.81558481147361,Train
2005-10-21,43.417179107666016,43.2034598003845,Train
2005-10-24,43.49011993408203,43.327324794865994,Train
2005-10-25,43.43281173706055,43.43195868241604,Train
2005-10-26,43.18791961669922,43.52510462056661,Train
2005-10-27,42.88572692871094,43.27724302414934,Train
2005-10-28,42.42200469970703,43.044411911959585,Train
2005-10-31,42.66167449951172,42.330948129882366,Train
2005-11-01,42.51057815551758,42.54122739436907,Train
2005-11-02,42.23443222045898,42.44564108997643,Train
2005-11-03,43.17749786376953,42.178179943427594,Train
2005-11-04,43.24523162841797,43.21849958015839,Train
2005-11-07,43.56307601928711,43.29220278728995,Train
2005-11-08,43.42726135253906,43.6460238018732,Train
2005-11-09,43.265357971191406,43.371159666524306,Train
2005-11-10,43.865997314453125,43.14764847740549,Train
2005-11-11,44.15845489501953,43.76671262660705,Train
2005-11-14,44.05921173095703,44.193888267814124,Train
2005-11-15,44.6702766418457,44.12113706826401,Train
2005-11-16,45.197792053222656,44.73119187015355,Train
2005-11-17,45.38057327270508,45.26383072522433,Train
2005-11-18,45.8401985168457,45.307760376606446,Train
2005-11-21,45.58949279785156,45.77852774661483,Train
2005-11-22,45.9550895690918,45.54090194802986,Train
2005-11-23,46.37813568115234,45.96816576752274,Train
2005-11-24,46.37813568115234,46.48264666929505,Train
2005-11-25,46.37813568115234,46.4901013273976,Train
2005-11-28,46.54003143310547,46.45968961922798,Train
2005-11-29,46.53479766845703,46.51356165402331,Train
2005-11-30,46.43035888671875,46.46178896231478,Train
2005-12-01,46.592281341552734,46.40937404973959,Train
2005-12-02,46.2997932434082,46.64406277950283,Train
2005-12-05,46.18489837646485,46.40251187918896,Train
2005-12-06,46.55570602416992,46.28432019937449,Train
2005-12-07,46.33634948730469,46.638230868287714,Train
2005-12-08,45.69918441772461,46.316650162123864,Train
2005-12-09,45.42235565185547,45.63155969657046,Train
2005-12-12,44.89487075805664,45.413782360691755,Train
2005-12-13,43.71975326538086,44.92873490893234,Train
2005-12-14,43.41681289672852,43.81610376012001,Train
2005-12-15,43.625732421875,43.53702802137596,Train
2005-12-16,43.54218292236328,43.687391815009974,Train
2005-12-19,43.22359848022461,43.472303703761035,Train
2005-12-20,43.07735443115234,43.13729869733626,Train
