Date,Actual,Forecast,Type
2005-07-25,1.3166743516921997,0.0,Train
2005-07-26,1.3112637996673584,1.3166743814908934,Train
2005-07-27,1.3220831155776978,1.311263806274439,Train
2005-07-28,1.3163737058639526,1.3220831174205896,Train
2005-07-29,1.281810641288757,1.3163737052742366,Train
2005-08-01,1.2848169803619385,1.2818106363131065,Train
2005-08-02,1.2980400323867798,1.2848169651912484,Train
2005-08-03,1.2989418506622314,1.956377201175976,Train
2005-08-04,1.283614158630371,1.2935312520613356,Train
2005-08-05,1.2920293807983398,1.2943396508594411,Train
2005-08-08,1.281810641288757,1.2862766152145024,Train
2005-08-09,1.3169742822647097,1.2471960680025447,Train
2005-08-10,1.3037505149841309,1.3206297015883317,Train
2005-08-11,1.322384476661682,1.3169747080152328,Train
2005-08-12,1.3854986429214478,1.3233854016703754,Train
2005-08-15,1.432983636856079,1.375599816539701,Train
2005-08-16,1.3900060653686523,1.4432518490588666,Train
2005-08-17,1.4170551300048828,1.3816991927175026,Train
2005-08-18,1.3915085792541504,1.417441531439612,Train
2005-08-19,1.377383589744568,1.3862490552136315,Train
2005-08-22,1.3785851001739502,1.393160423627126,Train
2005-08-23,1.3746784925460815,1.410228308163305,Train
2005-08-24,1.3755799531936646,1.3830408095941504,Train
2005-08-25,1.3842957019805908,1.3677099411355622,Train
2005-08-26,1.3746784925460815,1.387992568546082,Train
2005-08-29,1.377684235572815,1.3664165940961075,Train
2005-08-30,1.399623155593872,1.3696724441786403,Train
2005-08-31,1.4092406034469604,1.4109961607255899,Train
2005-09-01,1.3903067111968994,1.42948258994578,Train
2005-09-02,1.3891040086746216,1.3969349185219655,Train
2005-09-05,1.4278739094734192,1.385103765375457,Train
2005-09-06,1.4666438102722168,1.4286853327527789,Train
2005-09-07,1.463037371635437,1.4615865034642082,Train
2005-09-08,1.496097207069397,1.4624138506472568,Train
2005-09-09,1.5420804023742676,1.5071082442902453,Train
2005-09-12,1.5447852611541748,1.5529435716797146,Train
2005-09-13,1.5273536443710327,1.5501388781614425,Train
2005-09-14,1.49098801612854,1.5316927295331157,Train
2005-09-15,1.498801827430725,1.498449308730354,Train
2005-09-16,1.539075493812561,1.493615410708527,Train
2005-09-19,1.5820518732070925,1.5454644859221487,Train
2005-09-20,1.5985826253890991,1.6000652811642326,Train
2005-09-21,1.5661227703094482,1.6074774034537775,Train
2005-09-22,1.5598126649856567,1.5673745955840723,Train
2005-09-23,1.5988829135894775,1.5577332214000403,Train
2005-09-26,1.6181174516677856,1.6072638670284263,Train
2005-09-27,1.6060956716537476,1.6205784742806069,Train
2005-09-28,1.535167932510376,1.6181144610371614,Train
2005-09-29,1.5730363130569458,1.5519031231201854,Train
2005-09-30,1.611204981803894,1.575132469300051,Train
2005-10-03,1.6361502408981323,1.6119663490597778,Train
2005-10-04,1.6154128313064575,1.6400400498108998,Train
2005-10-05,1.5862600803375244,1.6248290470067177,Train
2005-10-06,1.5538021326065063,1.5863379742265549,Train
2005-10-07,1.5417799949645996,1.5541715380561374,Train
2005-10-10,1.5138297080993652,1.5619178206947424,Train
2005-10-11,1.5504953861236572,1.5202360703680853,Train
2005-10-12,1.4801692962646484,1.554009173499905,Train
2005-10-13,1.6151124238967896,1.4803332387016492,Train
2005-10-14,1.6229257583618164,1.62118986675123,Train
2005-10-17,1.6060956716537476,1.6196527376285017,Train
2005-10-18,1.5691289901733398,1.6049185920192086,Train
2005-10-19,1.651176691055298,1.5833893772472885,Train
2005-10-20,1.6872419118881226,1.6623834526917087,Train
2005-10-21,1.6728157997131348,1.683199237411237,Train
2005-10-24,1.7067766189575195,1.6878147105432848,Train
2005-10-25,1.6860394477844238,1.7120516408215516,Train
2005-10-26,1.7139904499053955,1.680732926718891,Train
2005-10-27,1.665303111076355,1.709271083480607,Train
2005-10-28,1.637051701545715,1.6865472575407134,Train
2005-10-31,1.730820894241333,1.6499846781341696,Train
2005-11-01,1.7281155586242676,1.7257778850032612,Train
2005-11-02,1.801748275756836,1.745676725415484,Train
2005-11-03,1.8588521480560305,1.8049624498846564,Train
2005-11-04,1.8378138542175293,1.857489886352432,Train
2005-11-07,1.8101633787155151,1.8284663207089498,Train
2005-11-08,1.800246000289917,1.827108434721143,Train
2005-11-09,1.806556701660156,1.8212023618714177,Train
2005-11-10,1.838714957237244,1.8008936947347876,Train
2005-11-11,1.8495347499847408,1.8613539648354671,Train
2005-11-14,1.8468300104141235,1.8567327736811559,Train
2005-11-15,1.871775388717652,1.8432235117391707,Train
2005-11-16,1.9520188570022583,1.8609396925702388,Train
2005-11-17,1.9390965700149536,1.9675096985862734,Train
2005-11-18,1.94029700756073,1.9593446414170603,Train
2005-11-21,1.952319383621216,1.937624355909887,Train
2005-11-22,1.999204516410828,1.9740806160716964,Train
2005-11-23,2.0169360637664795,2.006155506061743,Train
2005-11-24,2.050447106361389,2.015751968205073,Train
2005-11-25,2.083958148956299,2.0468471217585207,Train
2005-11-28,2.093574523925781,2.0966837603605404,Train
2005-11-29,2.0466907024383545,2.1123768877034754,Train
2005-11-30,2.0382747650146484,2.0448242737027744,Train
2005-12-01,2.1518797874450684,2.0615147450375506,Train
2005-12-02,2.1828360557556152,2.160132719043636,Train
2005-12-05,2.158491373062134,2.1845394308384547,Train
2005-12-06,2.2255122661590576,2.1574869201626714,Train
2005-12-07,2.222506284713745,2.2380960555678113,Train
2005-12-08,2.226413488388061,2.2363969104234784,Train
2005-12-09,2.2339284420013428,2.2246367152976876,Train
2005-12-12,2.251358985900879,2.2635780349270913,Train
