ds,yhat,yhat_lower,yhat_upper
2005-07-25,1.3056248702619386,-6.617423336231313,9.160824735064834
2005-07-26,1.311952989703973,-6.774710599071913,8.860224133814969
2005-07-27,1.297290389481872,-6.811969591873932,9.27519839476719
2005-07-28,1.2530608531009813,-6.417625213408586,9.708413286572451
2005-07-29,1.2134159295877647,-6.592704386319118,9.136855470660036
2005-08-01,1.259990766918263,-7.223182261713437,9.382600230712535
2005-08-02,1.3190808309208637,-6.232049278541428,9.602029824863502
2005-08-03,1.3611455304231994,-6.985940146806225,8.713535843082731
2005-08-04,1.3765935752218255,-6.30923581090036,8.773095018043042
2005-08-05,1.398488368632901,-6.774281819728995,9.003716448170051
2005-08-08,1.6293400426087605,-6.4540766536537495,9.274093236967667
2005-08-09,1.7458548123035265,-6.618931715418084,9.081148319679551
2005-08-10,1.8414588058139199,-5.707618380933859,9.770575572410833
2005-08-11,1.9055132995908979,-6.395549513046116,10.621397614086444
2005-08-12,1.9701203112786607,-6.45397349836405,10.34822352703963
2005-08-15,2.28581278757247,-5.4466579604180145,10.415830795429724
2005-08-16,2.4142017441748473,-5.57974124453982,10.45397354281029
2005-08-17,2.5128653420780553,-5.974677693879737,10.464363109524008
2005-08-18,2.5710389195764205,-4.809245459998389,11.414005587555001
2005-08-19,2.620863413193611,-4.8938431840432886,10.98371449158026
2005-08-22,2.8416045514508124,-5.202784219045464,10.381054688090396
2005-08-23,2.923166576258902,-5.024462123792668,10.826343640800266
2005-08-24,2.968599920299842,-4.890522362310858,10.938200258489212
2005-08-25,2.9680235212962724,-4.488421900677734,11.106190355799145
2005-08-26,2.9545522245474536,-5.4504814693536945,10.840214861997344
2005-08-29,2.9687966829964205,-4.713009550441444,11.082508742629859
2005-08-30,2.9797030129556594,-4.9138580821147455,11.087535131106735
2005-08-31,2.9554274749217972,-5.585926684622822,11.28174882796378
2005-09-01,2.88716021245709,-5.551026240920216,10.490447520390218
2005-09-02,2.809029610511048,-5.016682192807251,11.208056920375252
2005-09-05,2.6563851577982813,-5.570764396743351,10.782914340350391
2005-09-06,2.6231423705535573,-4.601034197863767,11.229359831648024
2005-09-07,2.561385173673897,-5.20788439062354,10.891629654147026
2005-09-08,2.4626644714026966,-5.3290208542081166,10.43637407178969
2005-09-09,2.361333293615952,-4.941018103305686,10.55832904615966
2005-09-12,2.182823589468837,-5.503261088581438,10.108080388318868
2005-09-13,2.1549657239841067,-6.488787158355654,10.23773878138176
2005-09-14,2.1050150693921563,-5.747176247978483,10.189341850162466
2005-09-15,2.024018493349905,-5.848600622128297,10.35083386603539
2005-09-16,1.9457399819916494,-5.78323131023393,9.635152921250766
2005-09-19,1.8615140362711962,-6.430789791461327,9.710544896691532
2005-09-20,1.8709724168804966,-5.888468496563491,10.41878117803955
2005-09-21,1.8599937763405605,-5.72425416920655,9.637159832897689
2005-09-22,1.8188588125080234,-5.801354511453491,9.834287253860643
2005-09-23,1.7805911361813622,-6.085053529512111,9.469903728532698
2005-09-26,1.8105525727634917,-6.176859689309163,9.952199535979599
2005-09-27,1.854176629489169,-6.049163735642048,9.694725887668488
2005-09-28,1.8746204341682433,-6.053664911588334,9.884536119658998
2005-09-29,1.8618079729146344,-5.837665724535749,9.41768787264242
2005-09-30,1.8484908364775523,-6.462069830056016,10.758584935537302
2005-10-03,1.931620280265193,-5.964322469697682,9.62000555508641
2005-10-04,1.9856598385675777,-5.367604346339796,9.87758780269331
2005-10-05,2.0130113472835895,-5.415386161071846,9.433660029279615
2005-10-06,2.003783400672002,-5.571463599662382,10.00841098236493
2005-10-07,1.990965426369824,-5.14822767991278,9.913226870782498
2005-10-10,2.0600584404197324,-5.720145100081817,9.49539685284214
2005-10-11,2.105364717389148,-6.026803868934594,10.252437359669972
2005-10-12,2.1225483232565954,-5.205275048969209,9.751725991080189
2005-10-13,2.1020721456904123,-5.956665270925464,9.658638674244827
2005-10-14,2.0772669996693693,-5.920155042012159,9.833260252491428
2005-10-17,2.1090355957015854,-5.410905054054843,9.997103859260339
2005-10-18,2.1423157652047795,-5.907130192664587,10.285664186105027
2005-10-19,2.148024702771253,-5.165322575110633,9.973278775544566
2005-10-20,2.1167719589708924,-5.735145544944209,10.273757034643728
2005-10-21,2.08199432517565,-5.917973951803875,9.587064820131665
2005-10-24,2.089145861821279,-5.897454666318595,9.735062257116155
2005-10-25,2.115969481690553,-5.815960654600258,10.54179196894279
2005-10-26,2.116012556549942,-5.763000620937127,10.027322308721502
2005-10-27,2.07979896873398,-6.080428220549468,9.968422205016205
2005-10-28,2.040663564042081,-6.0603747619093085,9.787047524256282
2005-10-31,2.037211878565195,-5.7743757969651925,10.303823453443574
2005-11-01,2.0609363067179824,-5.32984451266609,9.907197114026657
2005-11-02,2.0579185181281665,-5.936571231072717,9.549631319328029
2005-11-03,2.0185929167598715,-5.501186041157737,9.24757242077529
2005-11-04,1.976221957923542,-5.907075191509455,10.252563378513402
2005-11-07,1.9619050364893473,-6.2479057261578514,9.76673301151911
2005-11-08,1.9815940171651782,-5.983428062241448,9.495246872413917
2005-11-09,1.9743769579129298,-6.087124717141629,10.024929151864432
2005-11-10,1.9307465809813071,-5.836817992536254,9.898892615293255
2005-11-11,1.8840429536895253,-5.897795681658788,9.767137284530467
2005-11-14,1.8575696717687429,-5.761570844972893,9.366511902420962
2005-11-15,1.8738779893007136,-5.46584359135743,9.78800723391906
2005-11-16,1.863825747198482,-6.7083602386146275,9.99868974336386
2005-11-17,1.818031831353522,-5.703741835904298,9.795830952224094
